code,kline_time,open,high,low,close,volume,amount
000001.SH,2024-01-02,2972.775,2976.2682,2962.2762,2962.2762,304141793,345950729194
000001.SH,2024-01-03,2957.1117,2971.2834,2953.2901,2967.2472,285455945,321018391310
000001.SH,2024-01-04,2965.5087,2966.6828,2936.6347,2954.3486,264980924,296291346878
000001.SH,2024-01-05,2949.8221,2967.9677,2916.7206,2929.1833,301040239,325917001164
000001.SH,2024-01-08,2923.457,2924.4559,2887.5379,2887.5379,270275055,290730589588
000001.SH,2024-01-09,2887.1095,2900.7266,2878.4123,2893.2513,262955975,294446373682
000001.SH,2024-01-10,2886.9807,2903.1621,2870.4155,2877.7023,244046526,281192192419
000001.SH,2024-01-11,2873.7982,2896.1788,2867.7223,2886.6502,267050764,298552532937
000001.SH,2024-01-12,2880.0399,2904.1743,2878.8752,2881.9769,261602931,282877466332
000001.SH,2024-01-15,2872.5562,2904.4643,2869.2236,2886.2908,244611236,269229737081
000001.SH,2024-01-16,2881.5602,2896.683,2861.1302,2893.9886,286286714,300837919168
000001.SH,2024-01-17,2887.2917,2887.4893,2833.6152,2833.6152,261251308,283073939817
000001.SH,2024-01-18,2822.6672,2849.2559,2760.978,2845.7839,390396855,400709904734
000001.SH,2024-01-19,2836.9749,2849.8755,2822.8434,2832.2793,266664388,296717043828
000001.SH,2024-01-22,2826.5034,2828.3202,2735.3721,2756.3399,350165758,359918989570
000001.SH,2024-01-23,2746.8923,2784.8407,2724.1573,2770.9763,308749417,312191330216
000001.SH,2024-01-24,2782.1415,2823.6953,2743.3971,2820.7719,369070600,357316181644
000001.SH,2024-01-25,2823.8259,2906.794,2821.7093,2906.1087,442009045,437679811285
000001.SH,2024-01-26,2897.9149,2924.3065,2890.4819,2910.2227,421109084,402400231262
000001.SH,2024-01-29,2910.6072,2923.8992,2883.3327,2883.356,410581311,397014731369
000001.SH,2024-01-30,2866.2795,2881.3468,2829.2498,2830.5266,335661226,329254005891
000001.SH,2024-01-31,2815.5042,2834.011,2782.5869,2788.5482,377103965,355636999833
000001.SH,2024-02-01,2773.4239,2805.0146,2752.7824,2770.7403,352889185,337547960520
000001.SH,2024-02-02,2773.2949,2791.6756,2666.3335,2730.152,426230199,392661142297
000001.SH,2024-02-05,2716.081,2739.7383,2635.0897,2702.185,478990292,424877418268
000001.SH,2024-02-06,2680.4846,2802.9312,2669.6732,2789.486,502849313,441215054098
000001.SH,2024-02-07,2791.5145,2829.6956,2770.5293,2829.6956,547117439,495919878083
000001.SH,2024-02-08,2832.4855,2867.4738,2827.902,2865.9032,531108893,482939732024
000001.SH,2024-02-19,2886.5871,2910.544,2867.7103,2910.544,458967704,442148454574
000001.SH,2024-02-20,2902.8765,2927.308,2887.4741,2922.7302,350138735,357057491972
000001.SH,2024-02-21,2906.0243,2994.6149,2898.0496,2950.9556,444245463,450922050718
000001.SH,2024-02-22,2945.4465,2988.3578,2944.4988,2988.3578,354132536,365264217873
000001.SH,2024-02-23,2992.9115,3009.1359,2979.9728,3004.881,380083270,398232220674
000001.SH,2024-02-26,3002.1179,3009.479,2967.0571,2977.0221,409026558,427564895756
000001.SH,2024-02-27,2966.4166,3015.4807,2961.1479,3015.4807,372984687,412614978516
000001.SH,2024-02-28,3016.2555,3031.4881,2957.8524,2957.8524,544109093,576555221675
000001.SH,2024-02-29,2943.6242,3015.1712,2943.6242,3015.1712,409696374,452808746134
000001.SH,2024-03-01,3013.8229,3032.2315,3003.7632,3027.0204,379132184,442984248197
000001.SH,2024-03-04,3026.6071,3040.3447,3007.6829,3039.3055,387760002,461727516644
000001.SH,2024-03-05,3027.1028,3052.5413,3022.1777,3047.7931,383509955,458900476785
000001.SH,2024-03-06,3041.7518,3060.5629,3034.3536,3039.9309,340982739,401334635599
000001.SH,2024-03-07,3040.2111,3063.6924,3023.1177,3027.4013,377154391,423391257039
000001.SH,2024-03-08,3026.1654,3049.194,3016.9032,3046.0192,319204392,370647474769
000001.SH,2024-03-11,3042.6188,3068.4554,3035.4451,3068.4554,361608821,427851361287
000001.SH,2024-03-12,3068.182,3075.1308,3044.8572,3055.935,415743914,494558502794
