code,kline_time,open,high,low,close,volume,amount
000001.SH,2024-01-02 09:30:00,2972.775,2976.2682,2966.1399,2971.076,141353130,163043487759
000001.SH,2024-01-02 10:30:00,2970.8812,2973.3506,2965.265,2968.5633,50340142,58283937220
000001.SH,2024-01-02 13:00:00,2968.6979,2973.4196,2968.0875,2971.5656,51874276,57685765033
000001.SH,2024-01-02 14:00:00,2971.4725,2972.4261,2962.2762,2962.2762,62685137,69305427096
000001.SH,2024-01-03 09:30:00,2957.1117,2971.2834,2955.905,2962.6653,122504125,137782359841
000001.SH,2024-01-03 10:30:00,2963.131,2967.1718,2954.8225,2956.0417,58356828,65467479873
000001.SH,2024-01-03 13:00:00,2957.3434,2961.3839,2953.2901,2954.8281,48310235,55083930018
000001.SH,2024-01-03 14:00:00,2954.3194,2969.684,2953.3806,2967.2472,59299355,65693175409
000001.SH,2024-01-04 09:30:00,2965.5087,2966.6828,2947.0167,2951.2777,111953385,125213039090
000001.SH,2024-01-04 10:30:00,2951.0325,2951.0325,2936.6347,2941.0658,50447200,55292140355
000001.SH,2024-01-04 13:00:00,2941.3989,2946.9404,2939.8047,2941.4094,43604886,49426862803
000001.SH,2024-01-04 14:00:00,2941.5289,2956.9339,2939.0106,2954.3486,60904393,68313729862
000001.SH,2024-01-05 09:30:00,2949.8221,2967.9677,2942.4364,2963.5607,124196020,134666573460
000001.SH,2024-01-05 10:30:00,2964.4279,2966.9448,2948.8669,2949.723,59547951,62010721364
000001.SH,2024-01-05 13:00:00,2950.6104,2951.1167,2933.6094,2934.75,48319476,54418971163
000001.SH,2024-01-05 14:00:00,2934.3579,2940.8705,2916.7206,2929.1833,71417212,77100504836
000001.SH,2024-01-08 09:30:00,2923.457,2924.4559,2897.7745,2898.1353,112575347,123947336281
000001.SH,2024-01-08 10:30:00,2897.5428,2906.2819,2892.3603,2900.7133,48985234,51735232550
000001.SH,2024-01-08 13:00:00,2902.399,2904.4897,2890.6416,2892.8925,43307277,46146036720
000001.SH,2024-01-08 14:00:00,2892.7912,2904.3977,2887.5379,2887.5379,67190636,70737086760
000001.SH,2024-01-09 09:30:00,2887.1095,2898.7252,2879.9151,2896.2015,112770784,129921699527
000001.SH,2024-01-09 10:30:00,2896.209,2900.7266,2889.8688,2897.1243,49475163,53870486274
000001.SH,2024-01-09 13:00:00,2897.3703,2900.1052,2878.4123,2880.7985,49580672,54309545965
000001.SH,2024-01-09 14:00:00,2880.2344,2897.9192,2878.7819,2893.2513,53043253,58316319147
000001.SH,2024-01-10 09:30:00,2886.9807,2903.1621,2870.4155,2892.1142,119129811,138526614709
000001.SH,2024-01-10 10:30:00,2892.0759,2899.6563,2885.7953,2887.3244,40144170,46328598525
000001.SH,2024-01-10 13:00:00,2887.1822,2889.6085,2879.4088,2887.4382,35758957,41224543106
000001.SH,2024-01-10 14:00:00,2887.2986,2887.8213,2877.7023,2877.7023,50529918,56681262301
000001.SH,2024-01-11 09:30:00,2873.7982,2883.8052,2867.7223,2878.9481,101172680,117336948195
000001.SH,2024-01-11 10:30:00,2879.1701,2881.9261,2874.7617,2878.9932,38624596,43571621314
000001.SH,2024-01-11 13:00:00,2880.5192,2896.1788,2878.9932,2891.5328,71423579,77551614413
000001.SH,2024-01-11 14:00:00,2891.9613,2892.0928,2882.3111,2886.6502,57392603,61759571705
000001.SH,2024-01-12 09:30:00,2880.0399,2904.1743,2878.8752,2899.943,119265150,126623574254
000001.SH,2024-01-12 10:30:00,2900.0024,2902.1326,2885.8747,2885.8747,53863610,58122966057
000001.SH,2024-01-12 13:00:00,2886.8691,2890.8357,2881.7034,2884.9285,41252914,44960455907
000001.SH,2024-01-12 14:00:00,2884.7093,2890.7192,2881.058,2881.9769,49530706,55495965810
000001.SH,2024-01-15 09:30:00,2872.5562,2894.9496,2869.2236,2894.7347,116145934,128578050551
000001.SH,2024-01-15 10:30:00,2894.9605,2904.4643,2890.0313,2891.4319,46509032,50225067460
000001.SH,2024-01-15 13:00:00,2892.2764,2892.6653,2886.544,2887.0529,36166078,40468153359
000001.SH,2024-01-15 14:00:00,2887.0013,2888.4714,2883.0101,2886.2908,47638511,51819385392
000001.SH,2024-01-16 09:30:00,2881.5602,2896.683,2878.6052,2891.446,110030210,116903249226
000001.SH,2024-01-16 10:30:00,2891.5708,2894.4564,2864.3013,2864.3013,65541455,65480669715
000001.SH,2024-01-16 13:00:00,2868.3009,2871.2981,2861.1302,2864.3199,53850679,55692007209
000001.SH,2024-01-16 14:00:00,2863.9459,2893.9886,2862.8515,2893.9886,61984660,67267097184
000001.SH,2024-01-17 09:30:00,2887.2917,2887.4893,2867.2924,2873.0609,100101129,109825854032
000001.SH,2024-01-17 10:30:00,2872.8097,2876.3694,2866.5653,2873.7408,42718877,46704332590
000001.SH,2024-01-17 13:00:00,2875.6019,2875.6019,2863.0472,2865.5783,41614771,47465121437
000001.SH,2024-01-17 14:00:00,2865.5975,2866.2106,2833.6152,2833.6152,78588077,80883544865
