code,kline_time,open,high,low,close,volume,amount
000016.SH,2024-01-02,2316.4348,2316.735,2292.2286,2292.2286,31375477,50622406220
000016.SH,2024-01-03,2287.755,2299.6831,2283.5939,2294.8357,29314375,44217105083
000016.SH,2024-01-04,2293.4576,2296.1151,2260.3536,2279.0361,32125788,48905527790
000016.SH,2024-01-05,2272.9358,2295.6047,2256.598,2268.5377,35589372,51973252609
000016.SH,2024-01-08,2265.2418,2272.0351,2240.5554,2243.8422,31500656,47632268290
000016.SH,2024-01-09,2243.4096,2251.5411,2234.9149,2245.6219,30269328,48702067011
000016.SH,2024-01-10,2239.0296,2257.8543,2233.1811,2235.2089,25713298,41868260247
000016.SH,2024-01-11,2234.8184,2251.0754,2226.2781,2240.1061,30524425,45573502876
000016.SH,2024-01-12,2231.2855,2250.7314,2229.5887,2237.2073,25893778,39121731359
000016.SH,2024-01-15,2227.3616,2256.8001,2225.2362,2238.5029,23715095,39317045005
000016.SH,2024-01-16,2231.8236,2249.051,2223.4372,2248.975,28782237,46347948335
000016.SH,2024-01-17,2241.0157,2242.6104,2199.2587,2199.2587,30628292,51922838367
000016.SH,2024-01-18,2191.8887,2242.3256,2163.8682,2238.4588,54944741,83092561704
000016.SH,2024-01-19,2227.7329,2250.6113,2218.1739,2243.5396,35865114,59477638681
000016.SH,2024-01-22,2237.7734,2257.5892,2206.7644,2230.6094,44786209,70458296774
000016.SH,2024-01-23,2220.4989,2239.6539,2204.3685,2226.3713,34015311,54006326826
000016.SH,2024-01-24,2238.3319,2264.5205,2209.507,2260.5575,44198033,61986777930
000016.SH,2024-01-25,2264.0223,2314.4959,2261.3723,2312.8544,61945377,79432204287
000016.SH,2024-01-26,2303.3217,2323.3507,2295.9615,2314.3741,58316299,73311459367
000016.SH,2024-01-29,2312.6973,2327.3609,2304.4364,2304.4364,59549043,77810107284
000016.SH,2024-01-30,2292.2206,2303.7181,2270.9789,2270.9789,43267598,61237732360
000016.SH,2024-01-31,2261.1181,2273.0952,2243.9041,2254.2994,42928757,63009280531
000016.SH,2024-02-01,2245.4753,2270.0677,2238.7127,2248.268,39890138,59264044170
000016.SH,2024-02-02,2252.6543,2264.0558,2184.7721,2229.0142,50637119,72601307611
000016.SH,2024-02-05,2221.9449,2270.3732,2203.0744,2255.2809,59314022,87422810341
000016.SH,2024-02-06,2250.1109,2321.448,2246.8163,2318.8418,58385076,88303224387
000016.SH,2024-02-07,2323.1248,2344.7943,2305.5136,2344.1508,64784099,95430744991
000016.SH,2024-02-08,2345.0777,2355.7709,2330.8277,2352.5775,50486201,79375433558
000016.SH,2024-02-19,2368.4482,2371.5483,2348.4059,2371.5483,52160225,78856898581
000016.SH,2024-02-20,2367.9194,2372.8633,2353.9675,2369.0834,37486079,60546151372
000016.SH,2024-02-21,2359.1823,2439.2137,2355.402,2410.2278,50005382,86249269224
000016.SH,2024-02-22,2403.8752,2433.2331,2403.0032,2433.0819,37555411,60050748447
000016.SH,2024-02-23,2431.8661,2447.7986,2424.1707,2433.4073,40063072,62572523602
000016.SH,2024-02-26,2427.2297,2430.9726,2388.3927,2393.5488,41328340,63298281853
000016.SH,2024-02-27,2383.1353,2405.0609,2381.5714,2405.0609,33600960,57324528048
000016.SH,2024-02-28,2405.8777,2417.3257,2385.6099,2385.6099,44763907,76575633130
000016.SH,2024-02-29,2378.1383,2413.1361,2378.1383,2413.1361,35192528,63682017901
000016.SH,2024-03-01,2408.3023,2420.3783,2397.6398,2414.8439,34435007,60269510717
000016.SH,2024-03-04,2412.0795,2422.8165,2404.9222,2418.584,40298113,71924712167
000016.SH,2024-03-05,2410.4615,2450.0554,2407.0507,2446.4173,43956093,76817288567
000016.SH,2024-03-06,2443.8508,2450.4323,2433.0701,2434.1156,38753975,62490715898
000016.SH,2024-03-07,2430.4238,2446.2954,2418.1278,2426.9732,38335786,67072865441
000016.SH,2024-03-08,2423.135,2433.3334,2410.1477,2426.1679,34911257,57496304190
000016.SH,2024-03-11,2426.7266,2443.1064,2418.3381,2443.1064,39152145,69559846416
000016.SH,2024-03-12,2443.2323,2458.9167,2436.0776,2450.4693,50577285,93341577304
000016.SH,2024-03-13,2445.7963,2445.7963,2419.4529,2427.5969,36948673,67424743627
000016.SH,2024-03-14,2431.7713,2446.8797,2415.0617,2423.8556,36882246,69775882118
000016.SH,2024-03-15,2417.5715,2430.5932,2409.6096,2427.1969,33007509,62673015810
000016.SH,2024-03-18,2424.9223,2438.8328,2419.8757,2438.1911,37047252,70596403716
000016.SH,2024-03-19,2430.3039,2441.6045,2416.0292,2416.8349,34332515,64262404652
000016.SH,2024-03-20,2412.6074,2430.7199,2408.4843,2426.4586,30838610,51100637497
000016.SH,2024-03-21,2432.9314,2441.2744,2424.8755,2427.101,29208415,54112424029
000016.SH,2024-03-22,2417.9371,2420.7744,2386.2046,2403.2023,34073555,63189507878
000016.SH,2024-03-25,2398.3207,2418.3149,2393.0597,2401.2113,34383731,60441059299
000016.SH,2024-03-26,2404.2053,2415.7136,2398.6012,2413.7415,31362498,57780738857
000016.SH,2024-03-27,2408.9144,2421.1347,2398.9372,2398.9372,32072916,52565295667
000016.SH,2024-03-28,2395.2173,2424.7673,2387.4163,2401.9872,36870800,59543019163
000016.SH,2024-03-29,2399.4562,2418.563,2399.2786,2414.9202,34133586,51692110861
000016.SH,2024-04-01,2422.7347,2448.8766,2422.7347,2441.5668,36210013,63161798144
000016.SH,2024-04-02,2441.4887,2447.3738,2428.027,2435.7569,35726428,59917352009
000016.SH,2024-04-03,2439.432,2441.6698,2423.8756,2430.169,31959986,60097488949
000016.SH,2024-04-08,2419.0293,2431.4053,2407.359,2414.091,39873596,73403477404
000016.SH,2024-04-09,2411.7806,2418.5972,2399.2833,2404.6089,35622867,57315468944
000016.SH,2024-04-10,2403.7309,2412.5898,2388.6829,2396.7427,33612707,58702880924
000016.SH,2024-04-11,2383.7027,2402.7498,2380.5128,2394.8667,31288036,56313020544
000016.SH,2024-04-12,2397.2842,2402.6429,2370.2766,2374.0471,32363758,59600119109
000016.SH,2024-04-15,2367.8597,2424.9251,2367.763,2424.0168,50130502,75984593018
000016.SH,2024-04-16,2414.7557,2429.3859,2398.4323,2412.3219,46952482,68370136905
000016.SH,2024-04-17,2407.9642,2440.5779,2397.4385,2439.8558,45944602,69009890048
