code,kline_time,open,high,low,close,volume,amount
000016.SH,2024-01-02 09:30:00,2316.4348,2316.735,2299.0149,2300.1668,14426020,23478285099
000016.SH,2024-01-02 10:30:00,2299.8632,2302.4135,2293.7235,2294.9512,5328971,8840651268
000016.SH,2024-01-02 13:00:00,2294.9967,2299.9504,2294.6786,2298.6641,5456535,8686099558
000016.SH,2024-01-02 14:00:00,2298.7391,2299.6643,2292.2286,2292.2286,6347940,10007402396
000016.SH,2024-01-03 09:30:00,2287.755,2299.6831,2287.3127,2290.6188,11066514,17034540403
000016.SH,2024-01-03 10:30:00,2290.8404,2292.8267,2285.3489,2286.6867,6721234,9404584091
000016.SH,2024-01-03 13:00:00,2286.8656,2290.9429,2283.5939,2285.9464,5106240,8004566862
000016.SH,2024-01-03 14:00:00,2285.4987,2298.8246,2284.732,2294.8357,6729069,10160517313
000016.SH,2024-01-04 09:30:00,2293.4576,2296.1151,2272.3466,2275.535,11383023,17939800835
000016.SH,2024-01-04 10:30:00,2275.4396,2275.4396,2260.3536,2264.632,6336263,10346541515
000016.SH,2024-01-04 13:00:00,2264.8696,2268.6471,2263.3225,2266.2189,5889424,8479402853
000016.SH,2024-01-04 14:00:00,2266.2403,2281.6888,2265.333,2279.0361,8795404,12517502258
000016.SH,2024-01-05 09:30:00,2272.9358,2295.6047,2267.9766,2291.6976,14048750,19888542899
000016.SH,2024-01-05 10:30:00,2292.5625,2294.825,2282.8729,2283.3396,8180319,11069258742
000016.SH,2024-01-05 13:00:00,2283.7144,2286.07,2270.1857,2271.325,5669800,8595324763
000016.SH,2024-01-05 14:00:00,2271.0937,2277.1338,2256.598,2268.5377,8016952,12775611891
000016.SH,2024-01-08 09:30:00,2265.2418,2272.0351,2246.5608,2246.6711,12042566,18385090607
000016.SH,2024-01-08 10:30:00,2246.1402,2252.3365,2240.5554,2247.6414,5635128,8961301792
000016.SH,2024-01-08 13:00:00,2251.2671,2251.2671,2242.3436,2245.4634,5042412,7452096859
