code,kline_time,open,high,low,close,volume,amount
000300.SH,2024-01-02 09:30:00,3426.2684,3426.2684,3399.2817,3401.1846,53160818,85804790914
000300.SH,2024-01-02 10:30:00,3401.1037,3403.4163,3392.2675,3393.2658,19399382,30854093250
000300.SH,2024-01-02 13:00:00,3393.8764,3400.2153,3393.0495,3396.5793,20312202,30806364058
000300.SH,2024-01-02 14:00:00,3396.8063,3397.2875,3386.3522,3386.3522,24069641,37876038656
000300.SH,2024-01-03 09:30:00,3379.7501,3392.8504,3373.2277,3378.2825,41179393,65523281119
000300.SH,2024-01-03 10:30:00,3378.3461,3380.7101,3366.6894,3367.6909,23086375,34736236121
000300.SH,2024-01-03 13:00:00,3369.0025,3372.1824,3362.6617,3364.6529,19422582,31030506420
000300.SH,2024-01-03 14:00:00,3364.0578,3383.8085,3362.9846,3378.2971,23080216,35414626299
000300.SH,2024-01-04 09:30:00,3375.0207,3375.0207,3342.5706,3345.907,39661369,63079045125
000300.SH,2024-01-04 10:30:00,3345.9339,3345.9339,3323.8647,3329.7893,22432457,35263758944
000300.SH,2024-01-04 13:00:00,3330.8516,3336.7451,3327.9472,3330.48,18413419,28346048616
000300.SH,2024-01-04 14:00:00,3330.5841,3350.7119,3328.1605,3347.0519,27065198,40002321001
000300.SH,2024-01-05 09:30:00,3341.3061,3372.5444,3330.4795,3366.322,50575407,72837119486
000300.SH,2024-01-05 10:30:00,3367.0722,3370.5144,3351.2454,3351.924,26655400,35204288157
000300.SH,2024-01-05 13:00:00,3352.6796,3354.8987,3333.4234,3334.6497,20958486,30941042088
000300.SH,2024-01-05 14:00:00,3334.425,3342.9536,3313.5542,3329.1114,29257907,44493690605
000300.SH,2024-01-08 09:30:00,3322.6051,3333.516,3295.7113,3296.022,47538867,72483264962
000300.SH,2024-01-08 10:30:00,3295.483,3304.0278,3285.8166,3296.0283,23138608,32294567006
000300.SH,2024-01-08 13:00:00,3299.3536,3300.8893,3286.2625,3289.8385,17907373,25528421036
000300.SH,2024-01-08 14:00:00,3289.6838,3303.9224,3283.3421,3286.0564,29637121,41617416781
000300.SH,2024-01-09 09:30:00,3286.7083,3304.6008,3274.6184,3299.0858,45724003,76601650549
000300.SH,2024-01-09 10:30:00,3299.0037,3301.9075,3286.3155,3296.5554,21236321,31351338759
000300.SH,2024-01-09 13:00:00,3295.4477,3300.5351,3273.8431,3278.5294,20140685,30432275222
000300.SH,2024-01-09 14:00:00,3278.4483,3298.3121,3276.3989,3292.4994,23101889,35156273654
000300.SH,2024-01-10 09:30:00,3281.6692,3312.9161,3268.2471,3295.4923,44749265,79006491797
000300.SH,2024-01-10 10:30:00,3295.8172,3302.7316,3285.0532,3287.2472,15861969,27086483522
000300.SH,2024-01-10 13:00:00,3287.3835,3291.7779,3279.6725,3289.9148,14040315,23245075053
000300.SH,2024-01-10 14:00:00,3289.762,3290.1346,3277.129,3277.129,20179231,31349562302
000300.SH,2024-01-11 09:30:00,3275.3086,3289.5465,3266.7911,3283.2466,37582532,65852899699
000300.SH,2024-01-11 10:30:00,3283.2187,3289.228,3279.4051,3284.4852,14565779,24934214870
000300.SH,2024-01-11 13:00:00,3286.7723,3311.1137,3284.4852,3302.7671,32486618,54338830877
000300.SH,2024-01-11 14:00:00,3302.7971,3302.7971,3290.7467,3295.6717,24806067,36912823474
000300.SH,2024-01-12 09:30:00,3284.358,3310.4704,3279.6987,3305.5766,42418423,68142428613
000300.SH,2024-01-12 10:30:00,3305.8263,3308.6534,3289.0641,3289.0641,20065749,33174054089
000300.SH,2024-01-12 13:00:00,3290.1685,3295.6238,3284.3145,3288.2099,16117574,25459657998
000300.SH,2024-01-12 14:00:00,3288.0511,3295.203,3284.1233,3284.1667,19190508,31108911968
000300.SH,2024-01-15 09:30:00,3270.1029,3294.4825,3261.2687,3293.4637,37331525,64189492467
000300.SH,2024-01-15 10:30:00,3293.7302,3306.9217,3285.8011,3287.0737,19780858,29756422970
000300.SH,2024-01-15 13:00:00,3289.6096,3290.1936,3281.1084,3281.7569,14180263,22832315685
000300.SH,2024-01-15 14:00:00,3281.5917,3283.1691,3276.5983,3280.9195,18304409,28649647069
