code,kline_time,open,high,low,close,volume,amount
000688.SH,2024-01-02,850.9687,850.9687,839.8012,839.8012,15138040,51299035195
000688.SH,2024-01-03,838.3022,842.1976,827.1787,829.7721,14285605,50256538423
000688.SH,2024-01-04,831.2304,831.5542,817.7469,823.8475,12465895,42807367500
000688.SH,2024-01-05,820.3966,825.9385,803.4009,807.7294,13831363,45426509995
000688.SH,2024-01-08,802.895,804.5987,783.7367,784.4332,13204224,41757658981
000688.SH,2024-01-09,786.4801,793.5978,777.5601,782.9263,13703054,44711059436
000688.SH,2024-01-10,779.08,790.3581,771.5837,777.1526,12740775,41242507210
000688.SH,2024-01-11,775.3721,793.1363,775.1849,789.864,13547240,44546851850
000688.SH,2024-01-12,788.0254,790.3773,778.1067,778.3583,13106491,41960114988
000688.SH,2024-01-15,774.9573,784.1906,770.9793,773.4051,12190529,41242676378
000688.SH,2024-01-16,771.8404,777.53,765.4271,777.4032,13152859,41839701587
000688.SH,2024-01-17,775.8641,776.226,757.0449,757.0449,11754122,37491845447
000688.SH,2024-01-18,752.2862,769.1193,741.3381,768.2821,17344119,51152319397
000688.SH,2024-01-19,767.2392,773.1497,762.2642,765.4702,12880392,40209639926
000688.SH,2024-01-22,763.6012,764.6242,735.4063,742.2271,17115759,49925569207
000688.SH,2024-01-23,738.3826,754.649,733.4793,749.7431,16124075,46270919233
000688.SH,2024-01-24,753.0097,754.2197,728.3654,750.2748,16456236,46725962720
000688.SH,2024-01-25,749.1329,768.0234,742.932,765.7908,18867797,51522100979
000688.SH,2024-01-26,759.9374,762.1842,742.9311,746.0958,15653146,44413803946
000688.SH,2024-01-29,748.2643,754.5865,725.3074,725.3074,18099305,47533302470
000688.SH,2024-01-30,720.1933,722.631,696.5635,697.8454,15184450,41612056661
000688.SH,2024-01-31,693.8467,699.6704,681.3837,684.8518,18790544,46792282544
000688.SH,2024-02-01,680.7177,704.6597,678.9651,690.0051,17736774,45872356757
000688.SH,2024-02-02,693.0199,694.7458,653.6205,673.4071,20966472,50348535505
000688.SH,2024-02-05,675.3958,687.6212,635.7395,676.7932,27776959,58729670609
000688.SH,2024-02-06,675.4531,721.377,665.6321,720.7998,27528071,60143375048
000688.SH,2024-02-07,723.3117,744.3401,717.6979,743.4228,30993446,72213965559
000688.SH,2024-02-08,749.639,767.8557,745.2397,751.5036,31037561,72357927083
000688.SH,2024-02-19,762.6438,763.3583,748.287,763.3156,27425987,68655866804
000688.SH,2024-02-20,756.0838,758.0583,748.6,754.7015,19703420,51408513057
000688.SH,2024-02-21,747.2499,769.1493,744.264,755.1552,22272663,57035201896
000688.SH,2024-02-22,757.2618,768.6579,755.9041,762.3821,18435223,49712671043
000688.SH,2024-02-23,768.5093,769.8131,754.3471,764.4821,21288172,57385787606
000688.SH,2024-02-26,764.0326,776.9841,761.2193,768.4884,26715672,69780227231
000688.SH,2024-02-27,763.6649,797.149,761.264,796.9073,24214646,71354654830
000688.SH,2024-02-28,797.8251,811.6468,771.5922,771.5922,33634356,92170366772
000688.SH,2024-02-29,769.5571,807.707,769.5571,807.707,26053051,76229767283
000688.SH,2024-03-01,809.4005,818.1107,803.525,815.4866,23983105,72454213478
000688.SH,2024-03-04,819.9574,822.6528,807.3873,818.5129,23131064,70764262049
000688.SH,2024-03-05,812.6212,824.1248,810.3196,817.7721,22349007,69594824940
000688.SH,2024-03-06,816.1445,822.7868,803.9915,811.8984,19973582,58780249393
000688.SH,2024-03-07,814.1679,817.7769,793.5926,794.2384,21403310,60500813735
000688.SH,2024-03-08,795.3215,805.5717,791.7342,803.2,20310428,57902911073
000688.SH,2024-03-11,800.8992,818.7067,797.2616,818.4386,22129381,65259225212
000688.SH,2024-03-12,818.5162,827.628,813.0451,817.7503,21946276,66674864477
000688.SH,2024-03-13,821.3228,824.8148,813.0911,814.9319,20803285,63767092186
000688.SH,2024-03-14,811.5135,815.547,797.7755,804.8554,21741015,64940754849
000688.SH,2024-03-15,802.9111,809.3953,794.7507,808.6736,19734463,57967231415
000688.SH,2024-03-18,810.3869,825.8985,809.8341,825.3998,23449626,73094396709
000688.SH,2024-03-19,822.1818,823.9016,811.7743,811.7743,21579360,68514022866
000688.SH,2024-03-20,810.6893,815.7337,806.5752,814.027,20788645,65322768173
000688.SH,2024-03-21,820.1431,824.1756,805.5456,806.1376,22730548,74168732024
000688.SH,2024-03-22,804.0229,808.7094,793.1039,794.2011,22091222,69921210339
000688.SH,2024-03-25,792.8457,797.6576,781.6239,781.6464,20912655,66726761099
000688.SH,2024-03-26,781.7265,787.6022,768.6785,772.0888,18539103,57718127640
000688.SH,2024-03-27,771.5448,772.471,752.723,752.8206,17834301,51275159827
000688.SH,2024-03-28,753.8954,771.4793,753.2329,763.2749,18867049,56229248134
000688.SH,2024-03-29,761.6508,763.5643,751.244,762.7416,16835344,49138287951
000688.SH,2024-04-01,765.6326,776.7436,765.6326,775.5259,19159141,56986274163
000688.SH,2024-04-02,774.7265,774.7265,764.3214,768.7872,17626700,51531094911
000688.SH,2024-04-03,768.2135,769.2297,755.2103,756.7635,17633758,51899249041
000688.SH,2024-04-08,753.8344,757.1336,740.6653,740.6653,17707814,48189704352
000688.SH,2024-04-09,739.3922,749.86,736.8878,749.626,15995308,43838312749
000688.SH,2024-04-10,749.2249,749.5817,732.466,735.7336,16564199,45499390525
000688.SH,2024-04-11,735.6701,746.9106,735.6701,738.6744,16417057,48413927394
000688.SH,2024-04-12,742.9291,747.4962,738.3272,738.4294,15876099,45358171366
000688.SH,2024-04-15,739.1981,755.1814,738.5364,750.8984,21897791,56927703919
000688.SH,2024-04-16,746.8812,749.1177,732.8905,733.1469,21751165,53091971936
000688.SH,2024-04-17,737.6574,751.1987,735.2116,750.8884,20343833,54149431996
000688.SH,2024-04-18,747.132,757.7477,741.1968,745.6945,19080342,53433997840
000688.SH,2024-04-19,741.2853,741.9228,729.5666,730.5623,16603589,46251643635
000688.SH,2024-04-22,723.4082,735.9679,719.122,731.811,15965519,44367612859
000688.SH,2024-04-23,732.8677,736.3613,724.9005,727.8533,15411070,41379628051
000688.SH,2024-04-24,731.7109,739.0126,728.3789,738.6349,16525813,46672061743
000688.SH,2024-04-25,735.5631,740.4731,730.6082,733.344,16152999,46147084918
000688.SH,2024-04-26,733.0156,753.1478,733.0156,752.2497,21895507,66261566352
000688.SH,2024-04-29,752.9244,780.1969,752.6192,776.1538,25607571,75786389646
000688.SH,2024-04-30,773.8434,775.9247,765.5962,767.4642,21291970,60792508969
000688.SH,2024-05-06,778.9884,785.0726,774.0378,777.6628,21260962,63895184417
000688.SH,2024-05-07,776.8241,779.5932,768.3999,769.7918,19046323,58001964110
000688.SH,2024-05-08,769.6877,769.696,760.5681,761.6581,17301005,51592347291
000688.SH,2024-05-09,762.4007,779.4813,762.4007,778.8728,19590355,59636595894
000688.SH,2024-05-10,778.1523,778.5605,764.439,767.1724,18440335,54642285734
000688.SH,2024-05-13,760.0977,769.2053,757.9635,763.6902,18791632,53977392084
000688.SH,2024-05-14,766.6452,769.4159,759.4327,760.3046,15472971,45269222796
000688.SH,2024-05-15,758.7998,760.0837,749.2219,749.4741,13491056,39431834558
000688.SH,2024-05-16,753.4523,755.1738,745.0172,746.4714,15060795,43341764395
000688.SH,2024-05-17,743.7945,754.5608,741.8559,754.4177,16810362,45479409947
000688.SH,2024-05-20,752.2018,761.1733,749.807,753.5417,18255758,54188051565
000688.SH,2024-05-21,752.2879,755.4613,747.3057,748.2354,14797268,43757015769
000688.SH,2024-05-22,749.9091,756.6957,743.6822,754.9728,17875265,47104991869
000688.SH,2024-05-23,754.4028,755.4,741.4118,742.3956,17360466,47237906836
000688.SH,2024-05-24,741.6769,746.3954,726.8663,727.2069,17035306,48144600377
000688.SH,2024-05-27,726.3661,739.4492,719.5413,738.6533,18033003,52737526593
000688.SH,2024-05-28,736.6999,746.295,734.5837,734.8485,16252414,46263616462
000688.SH,2024-05-29,734.2882,741.337,731.5313,734.3334,15606172,40100996556
000688.SH,2024-05-30,733.5473,746.2628,730.3387,742.7038,16472358,44808112644
000688.SH,2024-05-31,743.1773,751.3954,741.3514,743.2275,17256354,46039605004
000688.SH,2024-06-03,743.6078,754.6477,742.2046,750.427,24023261,60802196433
000688.SH,2024-06-04,748.3021,755.2522,746.5304,753.6377,19203401,48176424871
000688.SH,2024-06-05,752.0488,762.2622,751.3513,752.0444,16498547,45466641000
000688.SH,2024-06-06,756.7882,759.2429,741.6784,743.229,22550234,55803507950
000688.SH,2024-06-07,744.3852,749.4184,731.5192,737.926,16720502,45120126315
000688.SH,2024-06-11,735.8374,756.5254,734.7608,755.8345,19587723,55350331963
000688.SH,2024-06-12,758.3821,761.5984,753.6073,754.9332,18227638,53808242843
000688.SH,2024-06-13,758.6061,765.9496,755.6062,758.9816,25978950,69949751480
000688.SH,2024-06-14,756.4109,756.5347,750.4948,754.2607,29506159,77877050718
000688.SH,2024-06-17,749.9432,759.9313,748.6959,757.106,22019578,62197998859
000688.SH,2024-06-18,757.8521,763.8241,753.5545,756.9042,19653822,55349393172
000688.SH,2024-06-19,758.4099,759.1351,747.7447,751.6883,19207461,56055144089
000688.SH,2024-06-20,752.1524,766.1242,749.816,755.151,26905292,73310755827
000688.SH,2024-06-21,749.7329,758.6693,744.5016,758.3741,20387596,55501975189
000688.SH,2024-06-24,754.4125,762.1453,738.2127,739.142,23239029,60440038909
000688.SH,2024-06-25,738.3239,738.7959,713.4223,717.7493,19469298,52283254246
000688.SH,2024-06-26,719.8394,732.1267,713.0044,729.6441,18530167,46979517809
000688.SH,2024-06-27,725.5201,727.389,715.1699,715.3568,16091572,42171532080
000688.SH,2024-06-28,713.3629,724.8969,710.5383,712.0772,17709520,47209566802
000688.SH,2024-07-01,711.6547,714.1296,699.4157,709.6032,17128692,45399161827
000688.SH,2024-07-02,709.1549,709.1718,697.5436,699.123,14508489,39357461169
000688.SH,2024-07-03,698.958,707.3553,692.8089,701.7847,15022225,40225649261
000688.SH,2024-07-04,702.0886,704.7821,689.9207,690.3758,14632986,36345299723
000688.SH,2024-07-05,688.5292,699.9743,683.3956,698.8491,14254730,38188387582
000688.SH,2024-07-08,700.0243,703.6287,689.8534,692.488,15136831,39204287609
000688.SH,2024-07-09,689.7864,712.1906,689.4211,709.8883,18996610,49260748008
000688.SH,2024-07-10,707.1942,715.7116,706.793,710.3693,15019366,41921460199
000688.SH,2024-07-11,722.0426,725.0175,712.0028,718.04,18439796,51276562600
000688.SH,2024-07-12,713.3117,721.4609,711.1612,718.3699,15120890,42161527331
000688.SH,2024-07-15,716.475,720.423,712.7898,715.8636,14157874,41286233179
000688.SH,2024-07-16,712.7582,732.6853,711.7131,732.0638,15541005,49339979843
000688.SH,2024-07-17,733.0729,735.7127,729.0022,729.0022,15197177,46109582552
000688.SH,2024-07-18,721.7649,738.7302,718.5237,735.4102,17760685,52062451850
000688.SH,2024-07-19,731.4085,751.2023,731.3997,749.4705,18928053,57974835758
000688.SH,2024-07-22,749.3161,756.6829,747.3824,752.0006,17021854,52125186053
000688.SH,2024-07-23,750.1285,750.1285,720.8808,721.1077,16260399,48354138906
000688.SH,2024-07-24,720.4696,726.3121,712.3293,713.3213,15521986,43188464867
000688.SH,2024-07-25,708.9356,722.6017,708.9355,713.8828,14031882,37330944805
000688.SH,2024-07-26,713.8931,723.4891,710.3301,719.8702,13475448,36114061217
000688.SH,2024-07-29,719.5542,721.2212,707.5969,707.5969,13292593,34795513336
000688.SH,2024-07-30,706.8565,712.1548,699.9039,710.0148,13069542,34773516152
000688.SH,2024-07-31,707.6596,744.0048,707.2044,743.3737,20586187,55888597607
000688.SH,2024-08-01,745.9636,748.7677,735.5762,738.8706,18294406,50371892748
000688.SH,2024-08-02,730.6522,742.2321,723.5557,725.6603,16586428,45476228459
000688.SH,2024-08-05,719.1563,730.2852,704.2633,704.2959,18802540,50043039199
000688.SH,2024-08-06,714.4886,717.189,705.0205,713.8638,14715068,38786492780
000688.SH,2024-08-07,712.7362,716.2555,706.8294,707.5875,12896915,33983700928
000688.SH,2024-08-08,703.055,716.6017,699.7005,708.9226,13891261,35912736090
000688.SH,2024-08-09,717.138,719.4299,705.5456,705.5456,12895302,34508480652
000688.SH,2024-08-12,704.3744,709.2074,702.9488,707.3312,12002220,29970420188
000688.SH,2024-08-13,707.6951,710.8868,702.9133,710.7468,10647463,26518286876
000688.SH,2024-08-14,711.6634,711.9424,700.8495,700.9303,10526844,27637296732
000688.SH,2024-08-15,699.0944,714.4645,697.8577,707.5508,14007562,34338026113
000688.SH,2024-08-16,707.3868,710.992,703.5797,705.2244,13276616,32679505573
000688.SH,2024-08-19,705.0385,712.0097,702.9978,703.3217,12825326,32339698290
000688.SH,2024-08-20,704.1157,705.0079,691.6494,693.5231,12141047,30373935239
000688.SH,2024-08-21,691.1343,698.5201,689.3758,691.6357,10322703,28306709997
000688.SH,2024-08-22,692.1893,695.4842,683.8756,685.5307,11841474,29952391727
000688.SH,2024-08-23,683.5869,688.3349,676.2346,685.7587,11650937,30230586873
000688.SH,2024-08-26,684.7724,688.9155,679.6144,682.4987,12151487,29261552668
000688.SH,2024-08-27,679.7532,679.7532,672.4572,674.3472,11612004,27088347626
