code,kline_time,open,high,low,close,volume,amount
000688.SH,2024-01-02 09:30:00,850.9687,850.9687,840.3183,846.1092,7088329,24669364240
000688.SH,2024-01-02 10:30:00,846.1452,847.2396,843.8297,844.1635,2585519,8777289121
000688.SH,2024-01-02 13:00:00,844.2782,845.2538,841.849,842.0872,2494349,8376965398
000688.SH,2024-01-02 14:00:00,842.1376,842.9519,839.8012,839.8012,3068374,9796643858
000688.SH,2024-01-03 09:30:00,838.3022,842.1976,834.9766,835.8169,5951977,20687995471
000688.SH,2024-01-03 10:30:00,835.7317,836.4515,828.1609,828.3728,3094458,11323079272
000688.SH,2024-01-03 13:00:00,829.0111,830.0981,827.1787,827.8448,2517078,8942651794
000688.SH,2024-01-03 14:00:00,827.8335,832.8518,827.2545,829.7721,2852148,9723804556
000688.SH,2024-01-04 09:30:00,831.2304,831.5542,823.6292,824.6575,4952706,17248100529
000688.SH,2024-01-04 10:30:00,824.5081,824.5491,819.2277,820.2099,2453367,8334453980
000688.SH,2024-01-04 13:00:00,820.6981,821.6999,818.1263,818.5077,2260799,7646826338
000688.SH,2024-01-04 14:00:00,818.4688,824.8649,817.7469,823.8475,2876369,9832836588
000688.SH,2024-01-05 09:30:00,820.3966,825.9385,818.228,822.1853,5269320,17266272125
000688.SH,2024-01-05 10:30:00,822.1028,823.2125,815.7507,815.8043,2446018,8225146104
000688.SH,2024-01-05 13:00:00,816.0362,816.3414,810.5433,811.135,2593078,8816043036
000688.SH,2024-01-05 14:00:00,811.1228,812.6474,803.4009,807.7294,3617150,11403431398
000688.SH,2024-01-08 09:30:00,802.895,804.5987,790.4607,790.6229,5298519,16908766579
000688.SH,2024-01-08 10:30:00,790.5735,792.7204,787.2277,789.6788,2493165,7866182055
000688.SH,2024-01-08 13:00:00,789.7487,790.2597,785.6013,785.8524,2158490,6870673290
000688.SH,2024-01-08 14:00:00,785.817,790.8483,783.7367,784.4332,3328700,10336212007
000688.SH,2024-01-09 09:30:00,786.4801,793.5978,784.6343,792.3864,5993463,19682601424
000688.SH,2024-01-09 10:30:00,792.3462,793.5449,785.4211,786.6764,2521455,8147010866
000688.SH,2024-01-09 13:00:00,786.5272,787.1173,777.5601,778.2811,2649014,8529719172
000688.SH,2024-01-09 14:00:00,778.3339,785.3613,778.1167,782.9263,2619468,8598917446
000688.SH,2024-01-10 09:30:00,779.08,790.3581,771.5837,786.8235,6324241,20524995816
000688.SH,2024-01-10 10:30:00,786.8665,789.3399,782.432,782.7863,2083908,6975824763
000688.SH,2024-01-10 13:00:00,783.0272,784.5222,778.7849,782.3353,1801944,5926202214
000688.SH,2024-01-10 14:00:00,782.3332,782.6507,777.1315,777.1526,2597188,8000635137
000688.SH,2024-01-11 09:30:00,775.3721,786.8617,775.1849,783.4711,4937784,16338167999
000688.SH,2024-01-11 10:30:00,783.5058,784.6837,780.801,782.7563,1877951,6556969215
000688.SH,2024-01-11 13:00:00,782.1309,793.1363,782.1309,792.8011,3959777,12870322306
000688.SH,2024-01-11 14:00:00,792.8133,792.8405,788.6923,789.864,2827598,8977092230
000688.SH,2024-01-12 09:30:00,788.0254,790.3773,784.641,789.2367,5319964,17471381145
000688.SH,2024-01-12 10:30:00,789.2981,789.7134,781.1287,781.2277,2830905,9098560576
000688.SH,2024-01-12 13:00:00,781.4098,782.9013,779.22,779.8693,2260695,6990357152
000688.SH,2024-01-12 14:00:00,779.9468,782.635,778.1067,778.3583,2801245,8710949634
000688.SH,2024-01-15 09:30:00,774.9573,783.5666,770.9793,782.4569,5750554,19443790911
000688.SH,2024-01-15 10:30:00,782.451,784.1906,776.3649,776.8233,2324045,8277394649
000688.SH,2024-01-15 13:00:00,776.968,777.6491,772.8763,773.9031,1913067,6390163264
000688.SH,2024-01-15 14:00:00,773.8997,774.9071,772.7389,773.4051,2278882,7383715651
000688.SH,2024-01-16 09:30:00,771.8404,777.1927,769.5113,774.036,4797634,15629051752
000688.SH,2024-01-16 10:30:00,774.1798,774.973,766.2194,766.2613,2787723,8668307838
