code,kline_time,open,high,low,close,volume,amount
000905.SH,2024-01-02,5431.4784,5439.4778,5409.4554,5409.4554,92964747,106839922689
000905.SH,2024-01-03,5398.2939,5428.5204,5373.8317,5401.395,86705229,99883598918
000905.SH,2024-01-04,5395.1428,5395.1428,5331.892,5355.3216,78846568,91011406056
000905.SH,2024-01-05,5347.0727,5373.6788,5260.5939,5281.8711,89538884,101084569596
000905.SH,2024-01-08,5268.2339,5268.9787,5167.6997,5167.6997,83785155,92792791379
000905.SH,2024-01-09,5176.1129,5220.4578,5152.9987,5180.653,78740418,90959823751
000905.SH,2024-01-10,5167.7319,5211.8158,5118.4332,5158.0784,71173946,84227807644
000905.SH,2024-01-11,5152.359,5243.1387,5146.8978,5223.8633,85041295,106151947191
000905.SH,2024-01-12,5213.1356,5262.6165,5206.1607,5206.178,76619831,93271394880
000905.SH,2024-01-15,5189.5279,5238.9581,5171.2399,5193.2956,73925097,88027788849
000905.SH,2024-01-16,5188.3692,5210.0834,5124.0823,5190.3975,83070371,92337607304
000905.SH,2024-01-17,5180.9251,5180.9251,5061.5395,5061.5395,78741849,87930639304
000905.SH,2024-01-18,5033.1032,5069.2295,4924.6815,5066.9579,118751055,123436419725
000905.SH,2024-01-19,5056.4765,5084.2902,5014.7667,5018.4332,78467383,92039421274
000905.SH,2024-01-22,5008.6804,5008.7672,4753.6302,4780.9748,109708492,115622857135
000905.SH,2024-01-23,4771.4963,4889.4223,4727.8806,4865.743,99944718,107808853142
000905.SH,2024-01-24,4886.2037,4941.4403,4766.8035,4933.7009,114025805,112683270494
000905.SH,2024-01-25,4931.6273,5074.4943,4910.9591,5073.1779,132307766,134822852027
000905.SH,2024-01-26,5055.2878,5086.129,5009.9729,5027.0932,117009836,119232918977
000905.SH,2024-01-29,5032.1113,5050.1092,4927.9137,4927.9137,116876657,117835011090
000905.SH,2024-01-30,4898.3613,4939.3511,4810.099,4814.9908,99675811,95474113525
000905.SH,2024-01-31,4786.8128,4832.401,4690.9429,4696.9796,121093158,116592536773
000905.SH,2024-02-01,4667.9126,4771.0465,4629.9901,4678.7308,111471910,107508825587
000905.SH,2024-02-02,4686.0999,4724.0488,4435.5569,4563.2221,137501832,124953077788
