code,kline_time,open,high,low,close,volume,amount
000905.SH,2024-01-02 09:30:00,5431.4784,5439.4778,5415.7151,5433.892,40458654,47619593543
000905.SH,2024-01-02 10:30:00,5433.8678,5439.3827,5423.527,5430.7742,15612987,18614463437
000905.SH,2024-01-02 13:00:00,5430.8989,5438.9513,5428.718,5434.4428,16887088,19071357061
000905.SH,2024-01-02 14:00:00,5434.0575,5434.8505,5409.4554,5409.4554,20631861,22199008415
000905.SH,2024-01-03 09:30:00,5398.2939,5428.5204,5396.9186,5410.8773,35245679,41117577741
000905.SH,2024-01-03 10:30:00,5410.9199,5417.0825,5382.9604,5384.3288,18192967,20756876607
000905.SH,2024-01-03 13:00:00,5387.9666,5390.9506,5374.6638,5377.1985,14703017,17093942822
000905.SH,2024-01-03 14:00:00,5376.839,5408.5988,5373.8317,5401.395,19457753,21828841045
000905.SH,2024-01-04 09:30:00,5395.1428,5395.1428,5356.9964,5366.1346,30212431,35671799421
000905.SH,2024-01-04 10:30:00,5366.7155,5366.7155,5339.347,5348.7649,17988239,19138386344
000905.SH,2024-01-04 13:00:00,5348.7553,5359.3543,5339.2169,5340.845,13407809,15617743789
000905.SH,2024-01-04 14:00:00,5340.8365,5361.0761,5331.892,5355.3216,17772706,21122303102
000905.SH,2024-01-05 09:30:00,5347.0727,5373.6788,5330.6362,5351.9221,34447546,40052921110
000905.SH,2024-01-05 10:30:00,5352.0226,5357.2312,5324.8734,5325.0013,17183771,18761601359
000905.SH,2024-01-05 13:00:00,5327.8751,5327.8751,5294.3474,5296.8563,15373071,17769831965
000905.SH,2024-01-05 14:00:00,5296.6319,5308.0115,5260.5939,5281.8711,23172540,25179462478
000905.SH,2024-01-08 09:30:00,5268.2339,5268.9787,5214.5786,5217.2367,32136604,38207590467
000905.SH,2024-01-08 10:30:00,5216.9185,5232.1003,5203.3657,5212.1399,16523177,17496229155
000905.SH,2024-01-08 13:00:00,5211.9277,5217.6708,5184.9295,5187.3059,13999573,15180844466
000905.SH,2024-01-08 14:00:00,5188.0564,5214.6975,5167.6997,5167.6997,21657307,22450259111
000905.SH,2024-01-09 09:30:00,5176.1129,5218.8622,5164.1827,5209.9085,31789547,39302015601
000905.SH,2024-01-09 10:30:00,5209.8282,5220.4578,5188.2007,5193.672,16249265,17703760525
000905.SH,2024-01-09 13:00:00,5192.4528,5197.1226,5153.3474,5155.7769,14924969,16573823201
000905.SH,2024-01-09 14:00:00,5155.3495,5188.4384,5152.9987,5180.653,16303592,17948804463
000905.SH,2024-01-10 09:30:00,5167.7319,5211.8158,5118.4332,5191.8973,35379210,42614205605
000905.SH,2024-01-10 10:30:00,5191.2636,5210.9954,5175.972,5179.7259,11407449,13379095142
